fid,name,x,y
"1","10",141.937890094188,42.8283245697119
"2","11",141.937140432382,42.8281873363284
"3","14",141.936591631278,42.8285901409277
"4","12",141.936310213999,42.8280567624834
"5","9",141.935581579625,42.8277615240212
"6","13",141.934764068828,42.8277267010648
"7","15",141.934101134766,42.8275990481551
"8","16",141.933352766591,42.8274580108062
