fid,name,x,y
"1","1",141.936664216468,42.8314196133876
"2","2",141.93587092406,42.8310647238438
"3","3",141.935189012367,42.8306449573569
"4","4",141.93454723123,42.8308728723471
"5","5",141.933932170222,42.8307090239659
"6","6",141.933395249364,42.8302251686182
"7","7",141.932638536946,42.8303709443226
"17","8",141.932102787602,42.8301127967276
